idx,city,country,iso3,capital,lat,lng,admin_name,population
46219,Staufenberg,Germany,DEU,,50.6667,8.7167,Hesse,8551.0
46243,Wissen,Germany,DEU,,50.7825,7.735,Rhineland-Palatinate,8543.0
46244,Siegsdorf,Germany,DEU,,47.8167,12.65,Bavaria,8543.0
46247,Bad Endorf,Germany,DEU,,47.9,12.3,Bavaria,8542.0
46248,Mücheln,Germany,DEU,,51.3,11.8,Saxony-Anhalt,8542.0
46263,Kandern,Germany,DEU,,47.7167,7.6667,Baden-Württemberg,8537.0
46281,Rottenburg an der Laaber,Germany,DEU,,48.7019,12.0272,Bavaria,8533.0
46299,Nonnweiler,Germany,DEU,,49.6167,6.95,Saarland,8526.0
46308,Möckmühl,Germany,DEU,,49.3167,9.35,Baden-Württemberg,8524.0
46321,Woltersdorf,Germany,DEU,,52.4478,13.7572,Brandenburg,8520.0
46334,Neuenbürg,Germany,DEU,,48.8461,8.5889,Baden-Württemberg,8518.0
46337,Reichelsheim,Germany,DEU,,49.7167,8.85,Hesse,8517.0
46338,Möser,Germany,DEU,,52.2167,11.8,Saxony-Anhalt,8517.0
46341,Schnaittach,Germany,DEU,,49.5592,11.3431,Bavaria,8516.0
46351,Uedem,Germany,DEU,,51.6675,6.275,North Rhine-Westphalia,8513.0
46389,Staufen im Breisgau,Germany,DEU,,47.8814,7.7314,Baden-Württemberg,8503.0
47816,Erfurt,Germany,DEU,admin,50.9781,11.0289,Thuringia,
2,Delhi,India,IND,admin,28.61,77.23,Delhi,32226000.0
3,Guangzhou,China,CHN,admin,23.13,113.26,Guangdong,26940000.0
4,Mumbai,India,IND,admin,19.0761,72.8775,Mahārāshtra,24973000.0
13560,New Berlin,United States,USA,,42.9726,-88.1291,Wisconsin,40387.0
43097,Berlin,United States,USA,,44.4869,-71.2599,New Hampshire,9485.0
